"Sample"	"Field1"	"Field2"
"043768_JUL-F01-Fal18"	"Feral"	"PAFeral"
"y-lin"	"Ref"	"YLin"
"WYOF1F18-merged"	"Feral"	"PAFeral"
"WYOM1F18"	"Managed"	"PAManaged"
"WYOM1F18-merged"	"Managed"	"PAManaged"
"WINDF18"	"Feral"	"PAFeral"
"WINDF17-merged"	"Feral"	"PAFeral"
"TX1108"	"Managed"	"TX"
"TX_1107"	"Managed"	"TX"
"TX_1106"	"Managed"	"TX"
"S2_1508"	"Managed"	"Sask"
"TX_1102"	"Managed"	"TX"
"S_1502"	"Managed"	"Sask"
"S_1501"	"Managed"	"Sask"
"SAXM1F18-merged"	"Managed"	"PAManaged"
"R2_1309"	"Managed"	"Russ"
"R_1308"	"Managed"	"Russ"
"R_1307"	"Managed"	"Russ"
"P_43"	"Managed"	"PurdueMB"
"R_1306"	"Managed"	"Russ"
"R_1301"	"Managed"	"Russ"
"P_54"	"Managed"	"PurdueMB"
"R_1303"	"Managed"	"Russ"
"P_44"	"Managed"	"PurdueMB"
"P_42"	"Managed"	"PurdueMB"
"P2_49"	"Managed"	"PurdueMB"
"NC5"	"Feral"	"NCFeral"
"NC3"	"Feral"	"NCFeral"
"NC4"	"Feral"	"NCFeral"
"NC2"	"Feral"	"NCFeral"
"NC1"	"Feral"	"NCFeral"
"m-lin"	"Ref"	"MLin"
"KY9"	"Feral"	"KYFeral"
"MALF1F18"	"Feral"	"PAFeral"
"MALF1F18-merged"	"Feral"	"PAFeral"
"MALF1F17"	"Feral"	"PAFeral"
"LINF1F18"	"Feral"	"PAFeral"
"LERF1F18"	"Feral"	"PAFeral"
"LINF1F18-merged"	"Feral"	"PAFeral"
"KY8"	"Feral"	"KYFeral"
"KY7"	"Feral"	"KYFeral"
"KY6"	"Feral"	"KYFeral"
"KY4"	"Feral"	"KYFeral"
"KY2"	"Feral"	"KYFeral"
"KY3"	"Feral"	"KYFeral"
"KY1"	"Feral"	"KYFeral"
"KY10"	"Feral"	"KYFeral"
"c-lin"	"Ref"	"Clin"
"JULM1F19"	"Managed"	"PAManaged"
"CA_1005"	"Managed"	"Cali"
"HAVM1F18"	"Managed"	"PAManaged"
"JULF1F17-merged"	"Feral"	"PAFeral"
"HAVF1F18"	"Feral"	"PAFeral"
"CA_1004"	"Managed"	"Cali"
"CA_1003"	"Managed"	"Cali"
"CA_1001"	"Managed"	"Cali"
"043785_MED-F01-Fal18"	"Feral"	"PAFeral"
"043786_MED-M01-Fal18"	"Managed"	"PAManaged"
"043782_LER-M01-Fal18"	"Managed"	"PAManaged"
"043783_WYO-F01-Fal18"	"Feral"	"PAFeral"
"043780_BER-M01-Fal18"	"Managed"	"PAManaged"
"043779_BER-F01-Fal18"	"Feral"	"PAFeral"
"043777_WIND-F01b-Fal18"	"Feral"	"PAFeral"
"043776_WIND-F01b-Fal17"	"Feral"	"PAFeral"
"043775_MAL-M01-Fal18"	"Managed"	"PAManaged"
"043774_MAL-F01-Fal18"	"Feral"	"PAFeral"
"043769_JUL-M01-Fal19"	"Managed"	"PAManaged"
"043771_LIN-F01-Fal18"	"Feral"	"PAFeral"
"043772_LIN-M01-Fal18"	"Managed"	"PAManaged"
"043770_LIN-F01-Fal17"	"Feral"	"PAFeral"
"043767_JUL-F01-Fal17"	"Feral"	"PAFeral"
